team_name,original_filename,uuid_filename,title,abstract
DIL,1_연구보고서.pdf,a0c974e6-8cfc-4e1e-97f6-c0c6ab1083c2.pdf,Turning Literature into Knowledge: AI-Driven,"This study proposes an integrated discovery framework for next-generation battery applications, aimed at elucidating composition–structure–property relationships in sulfide solid electrolytes. The framework combines literature-derived data ex- traction, knowledge graph (KG) construction, large language model (LLM)–driven candidate material proposal, and validation through molecular dynamics (MD) simulations with machine-learning interatomic potentials. From 125 collected arti- cles, 56 meeting quality criteria were converted into 146 normalized records that contained composition, space group, density, measurement temperature, and ionic conductivity, and 46 high-confidence entries were used to build the knowledge graph. Conditioning an LLM on the KG resulted in the identification of two novel candidate materials absent from the graph (Li11Si2PS12 and Li6.5P0.5Ge0.5S5Cl). Diffusion simulations using GRACE and MACE over 600–1400 K, along with Arrhenius extrapolation, predicted activation energies of 0.21 and 0.20 eV and room-temperature ionic conductivities of 12.7 and 14.0 mS cm−1, which are suf- ficiently high to be considered practically applicable. This end-to-end AI-driven framework is expected to establish a generalizable, data-centric paradigm for mate- rials discovery that transcends conventional design limits, regardless of the targeted application domain."
DeLTA lab,Reliable COPD Diagnosis.pdf,b8614b63-3561-4a51-888d-170b260fbc83.pdf,Reliable COPD Diagnosis in Small-,"Automatic auscultation using deep learning holds promise for respiratory disease diagnosis; however, real-world deployment is hindered by the scarcity and severe class imbalance inherent in medical datasets like ICBHI 2017. Furthermore, existing studies often prioritize classification accuracy while neglecting to verify whether the model’s decisions are based on genuine pathological features (e.g., wheezes, crackles) or spurious background noise. To address these challenges, we propose a reliability-centric framework for COPD detection utilizing a lightweight ResNet-18 architecture. We mitigate class imbalance through a dual strategy of weighted cross-entropy loss and decision threshold moving (𝜏= 0.48), which successfully boosted specificity from near-zero to 74.3% while maintaining high sensitivity. Crucially, going beyond qualitative visualization, we introduce a novel quantitative metric, the Spectral Region of Interest (ROI) Score, to mathematically validate the model's explainability. Our extensive experiments demonstrate that the proposed model achieves an accuracy of 84.6% and an average ROI Score of 0.994, proving that 99.4% of the model's attention aligns with clinically significant high-frequency spectral bands. This work establishes a robust benchmark for securing both generalization performance and clinical reliability in small-scale, imbalanced medical data regimes."
Dongho,Anonymous_paper.pdf,a7db261c-7af9-48e5-90b7-41047596cc34.pdf,Exploring mesoscale phenomena in Venusian cloud,"This study proposes scattering transform-based quantitative metrics to compare 1 and analyze mesoscale structures (mesoscale; ∼1–1,000 km) observed in 365 nm 2 ultraviolet images of the Venusian cloud tops, as well as to identify cloud mor- 3 phologies and to quantitatively assess the periodicity of mesoscale morphological 4 evolution. We use square regions of interest extracted from Akatsuki Ultraviolet 5 Imager observations on the low-latitude (5◦≤λlat ≤35◦) northern hemisphere 6 afternoon side (12:00–14:00 LT). After applying standard photometric correction 7 and preprocessing to enhance the mesoscale component, we compute scattering 8 transform coefficients and define two metrics, s21 and s22, from the first-order and 9 second-order scattering coefficients. The metric s21 quantifies the sparsity of mor- 10 phological features through the relative magnitude of the second-order coefficient 11 (S2) compared to the first-order coefficient (S1), whereas s22 characterizes the 12 dominant directional anisotropy (i.e., preferred propagation/orientation) through 13 the directional distribution of the second-order coefficient (S2,∥, S2,⊥). In the pro- 14 posed metric space, mesoscale structures exhibit a tendency to separate by spatial 15 features, demonstrating that images can be systematically explored at targeted fea- 16 tures. By tracking the metrics in time, we further identify quasi-periodic variability, 17 suggesting that the proposed framework can simultaneously trace wave-like compo- 18 nents associated with the atmospheric super-rotation and mesoscale morphological 19 evolution. The metrics are not intended to directly retrieve physical quantities; 20 rather, they serve as quantitative aids for morphology-based interpretation. Fu- 21 ture applications include extending metrics–morphology labeling and performing 22 regional comparisons of occurrence frequency and inter-feature relationships. 23"
EGO-Evolution,AI_활용보고서.pdf,6f3f26c8-9d28-4faa-9893-123131819aee.pdf,별첨1-4  (제출물 양식) AI 활용 보고서 (Track1),(초록 추출 실패)
FUTURESELF,AI 활용보고서.pdf,fe9a6466-376b-4aae-b527-60372673df3f.pdf,별첨1-4,"을 검색 증강 AI : 3 [ / ] 500 RAG( 생성시스템으로 전수 조사 ) . 분석 원칙 적용: 사실 원칙실험 조건온도습도혼합 순서의 미세한 차이가 결과의 거대한 편차를 만듦을 : ( , , ) 데이터로 입증. 부정 원칙기존 디지털 연구노트 가 단순 저장소 역할에 그쳐연구자의 실시간 사고 과 : (ELN) , 정을 담지 못한다는 한계 도출. 증빙"
FibroFriends,3. 활용 데이터 목록 .pdf,22c97a3c-bdc4-4f35-938a-44f1a08cebfe.pdf,별첨1-5  (제출물 양식) 활용데이터 목록 (Track1),(초록 추출 실패)
FireMind,3_활용 데이터 목록.pdf,eabbc84f-5f3e-4391-8e9b-847e0e86d97b.pdf,별첨1-5  활용데이터 목록 (Track1),(초록 추출 실패)
GEOAI,연구보고서.pdf,5a0da67f-102f-4686-b75a-4c86adcec0ed.pdf,Practical Framework for Mineral Prospectivity,"Mineral prospectivity mapping (MPM) guides exploration targeting by predicting 1 mineralization potential, yet most machine learning approaches provide only point 2 probability estimates without uncertainty measures or statistical guarantees essen- 3 tial for risk-informed decisions. Current methods face label ambiguity from undis- 4 covered deposits, spatial autocorrelation invalidating standard cross-validation, and 5 absence of practical guidance linking probabilistic outputs to exploration decisions. 6 We present a practical framework that combines positive-unlabeled (PU) learning, 7 nested spatial block cross-validation, and a practical zone classification system. 8 The framework combines bootstrap ensemble uncertainty with cross-conformal 9 prediction to assign each spatial unit to one of five exploration priority tiers, from 10 “immediate” drilling targets to “excluded” regions, using lift-based percentile 11 thresholds and a 30% relative interquartile range (rel_IQR) uncertainty criterion. 12 Validation on the Yilgarn Craton, Western Australia (70,200 grid cells, 818 nickel 13 deposits, 1.17% positive rate) employs nested five-fold spatial block CV with 14 50 km blocks informed by variogram analysis. Both XGBoost and BaggingPU- 15 XGBoost achieve outer test PR-AUC of 0.195 and ROC-AUC of 0.911. The 16 practical zone classification captures 55% of deposits within 5% of study area (11- 17 fold concentration), while conformal exclusion removes less than 4% of deposits, 18 maintaining 96% empirical coverage. BaggingPU-XGBoost produces more stable 19 high-probability predictions (median rel_IQR 0.18 versus 0.48 for XGBoost in top 20 1%), enabling confident identification of immediate targets. Our framework bridges 21 the gap between academic prospectivity modeling and operational exploration 22 targeting by converting statistical outputs into exploration recommendations. 23"
KO망고,AI_SSE_Paper_Final.pdf,b4b4de2c-b24b-44e0-b9b0-cf2744747326.pdf,AI-Assisted Discovery of Li–Ta–Cl Solid Electrolytes:,"Solid-state electrolytes (SSEs) must simultaneously deliver fast Li-ion transport, 1 wide electrochemical stability windows, and stable interfaces with electrodes. 2 In this work, we develop a physics-informed AI framework combining multi- 3 task surrogate modeling with systematic composition optimization to acceler- 4 ate the discovery of promising Li-based solid electrolytes within the Li–Ta–Cl 5 halide subspace. Our approach constructs physics-informed surrogates, performs 6 a grid-based composition search over 9,190 candidates, applies multi-objective 7 scoring, and validates robustness via weight sensitivity and ablation studies. 8 Specifically, the framework identified five high-scoring candidates centered at 9 Li1.80Ta0.32Cl3.60O0.32 with predicted favorable properties (Ea ≈0.31 eV, in- 10 terface score = 0.78) and exceptional robustness, where the identical composition 11 emerges as top-ranked across three different weight configurations. Furthermore, 12 ablation studies confirm that a multi-objective design is essential; removing the 13 interface term causes an interface score degradation of −0.056 (−7.2%), high- 14 lighting the critical role of holistic optimization constraints. 15"
KRRI_AILabs,template_2026_anonymized.pdf,f58afa26-a75c-4301-a793-6bc74aad3296.pdf,Design of a Multi-Stage Decision-,"In semiconductor manufacturing, inspection and metrology decisions are constrained by high costs, limited throughput, and the progressive availability of information over time. As the process advances, richer measurements become accessible, while the opportunity to rework or correct prior steps diminishes. Consequently, the central challenge is not merely accurate defect or yield prediction at individual stages, but the design of a decision-support framework that determines when and where limited inspection resources should be allocated. This paper proposes a staged decision-support pipeline spanning Stage 0 to Stage 3 that explicitly reflects this temporal structure. From Stage 0 to Stage 2A, stage- wise yield prediction models are constructed using only variables observable at each decision point, thereby preventing information leakage and ensuring operational consistency. Continuous yield predictions are translated into actionable decisions through quantile-based policies that define high-risk and scrap candidates under fixed capacity constraints. Downstream, Stage 2B and Stage 3 demonstrate how wafer map analysis and SEM-based defect morphology assessment can be organized into operationally meaningful candidate selection and triage records under limited inspection capacity. To ensure claim validity, we introduce a two-layer governance design that separates operational workflow integration from scientifically validated claims. Quantitative performance claims are restricted to the validated core (Stage 0–2A), where same-source ground truth is available, while downstream stages are treated as proxy benchmarks demonstrating functional feasibility without end-to-end causal claims. Experimental results show that incorporating progressively enriched information improves yield prediction accuracy and that the proposed decision agent framework can enrich high-risk wafer selection under fixed inspection budgets. Overall, this work demonstrates that evidence-gated, stag..."
KSJ,1. 연구보고서 .pdf,8351896e-adaa-446c-ab2b-c89d107ed0fe.pdf,Phonon-Assisted Kinetic Monte Carlo Simulation of,"We present a physics-based kinetic Monte Carlo (kMC) framework for simulating 1 Li-ion transport in garnet-type Li7La3Zr2O12 (LLZO) solid electrolytes. Using the 2 experimentally determined activation energy Ea = 0.54 eV from the original crys- 3 tallographic study of tetragonal LLZO, we systematically relax ten common kMC 4 assumptions through 37 independent experiments and identify the phonon-assisted 5 hopping mechanism as providing the largest single improvement (77% reduction 6 in log-error). By combining phonon coupling with Haven ratio corrections based 7 on recent PFG-NMR measurements (HR = 0.4), we achieve excellent agreement 8 with experiment: a log-error of −0.01 corresponding to 98% accuracy against the 9 bulk conductivity σb = 1.63 × 10−6 S/cm at 300 K. We critically analyze why 10 individual assumption relaxations often fail while combined approaches succeed, 11 and discuss the implications for physics-informed machine learning in materials 12 science. 13"
Laststar,Cross_PDK_Standard_Cell_Layout_Migration_From_SKY130_130nm_to_FreePDK45_45nm_viaTopological_Graph_Transformation (3).pdf,dbe680f9-739e-4996-8546-7afc397e7de6.pdf,Automated Cross-PDK Standard Cell Migration with,"Migrating verified design assets across process nodes is increasingly relevant in standard cell library development. However, design rules between heterogeneous nodes do not scale uniformly: minimum poly width, metal spacing, and well en- closure margins each follow distinct trajectories. This non-uniform scaling can inadvertently alter connectivity during migration. Conventional LVS is designed for within-PDK layout–schematic checking and does not directly support cross- PDK netlist-to-netlist comparison due to model naming and extraction semantic differences. We present a framework for automated standard cell migration from SkyWater 130 nm to FreePDK45, with topology equivalence verification based on graph isomorphism. Our approach models circuit netlists as device-net bipartite graphs and applies the VF2 algorithm to determine structural equivalence. Unlike LVS, VF2 operates on an abstract connectivity graph, enabling PDK-independent com- parison under explicit device-type normalization. It also produces a vertex-level bijection mapping each source device to its migrated counterpart, facilitating sys- tematic debugging. To accommodate the physical source/drain (S/D) symmetry of MOSFETs in the target PDKs, we define an extended isomorphism with relaxed edge-matching conditions permitting S/D interchange. This assumption is specific to symmetric MOSFET models and requires validation for asymmetric devices. The framework comprises KLayout-based netlist extraction, NetworkX-based VF2 checking, and gdstk-based layout generation. We evaluate 42 standard cells spanning 10 gate types; 32 cells (76.2%) pass DRC, LVS, and topology verifica- tion. The remaining 10 cells fail due to contact uniqueness violation: a structural limitation where a single shared diffusion contact must connect to two distinct nets, which is physically unrealizable in linear layouts. We provide a detailed structural analysis and discuss mitigation strategies including non-linear place- ment and ..."
Leblanc24432,An ε–δ Discriminant for Projection-Induced.pdf,3d2ed538-8133-4ab6-84c2-4dea933c005f.pdf,An ε–δ Discriminant for Projection-Induced,"We propose a representation-level validity criterion for separating intrinsic dy- 1 namics from artifacts introduced by reduced observations used in turbulence anal- 2 ysis (e.g., POD/autoencoder latent projections and Fourier truncations). View- 3 ing time discretization as a recurrence and observations as zn = π(un), 4 we test whether the induced observation recurrence remains locally single- 5 valued/continuous via an ε–δ correspondence discriminant; instability signals pro- 6 jection folds and closure failure. In a CPU-first, Docker-reproducible viscous 7 Burgers demo with Fourier top-k projection, the test yields PASS/FAIL trust re- 8 gions that can serve as a validity gate before fitting low-dimensional (AI/ROM) 9 dynamics such as Neural ODEs. 10"
M-square,1. 연구보고서 - An AI-Guided Framework for Mobility–Stability-Aware Recipe Generation in Oxide Semiconductor TFTs.pdf,0fc41659-1bb2-4f3c-9b32-54385ef84936.pdf,An AI-Guided Framework for,"Amorphous oxide semiconductors are advancing into next-generation memory 1 applications requiring high mobility (>50 cm²/V·s) and robust electrical stability— 2 performance targets rarely achieved due to fundamental mobility–stability trade- 3 offs. Here, we present an AI-guided framework that mines 1,030 mobility–stability 4 pairs from 2,005 experimental studies, establishing the first quantitative Pareto 5 frontier for oxide thin-film transistor performance. Systematic analysis of frontier- 6 breaking devices reveals key fabrication strategies—including atomic-scale depo- 7 sition control, multi-channel architectures, and interface engineering—that col- 8 lectively transcend conventional performance boundaries. We develop a large 9 language model–based recipe generator using Retrieval-Augmented Generation 10 that predicts fabrication conditions tailored to user-defined targets. Benchmarking 11 on 1,198 test cases shows our model achieves 4.33/5.0 overall recipe quality, with 12 strong performance in post-processing prediction (+5.7%) and performance metrics 13 (+7.8%) versus baselines. This work demonstrates how literature-grounded AI 14 can assist process design, providing a scalable approach for navigating complex 15 process–property relationships in materials optimization. 16"
MODOC AI,1. S_ACAD_Pediatric_Seizure_anonymized.pdf,4b9c732e-c308-4a7c-a79f-10fc8ccde768.pdf,S-ACAD: Safe and Rapid Clinical Algorithm,"Healthcare leaders face a strategic dilemma: traditional expert-led content develop- 1 ment ensures safety but is too slow for digital innovation, whereas AI automation 2 offers speed but introduces unacceptable risks from hallucination. We present 3 S-ACAD (Semi-Automatic Clinical Algorithm Development), a Human-in-the- 4 Loop governance framework that positions continuous human oversight as the 5 core management strategy for navigating AI-enabled uncertainty. In a prospective 6 proof-of-concept study on pediatric febrile seizures, S-ACAD produced a parent- 7 actionable algorithm in 245 minutes using multiple AI agents (Gemini 2.5 Pro, 8 ChatGPT o3, Perplexity Pro, Consensus) for parallel data collection and Claude 9 Opus 4 for critical review (‘AI Sparring’). Two independent pediatric specialists 10 confirmed zero critical safety errors. By comparison, a fully automated approach 11 (F-ACAD) completed the task in 68 minutes but generated 17 issues including 9 12 high-priority safety concerns. These preliminary findings suggest that S-ACAD 13 creates a viable pathway for ‘Active Governance’ of AI-assisted clinical content 14 development, balancing operational efficiency with rigorous safety standards. 15"
Memristor,활용데이터 목록.pdf,45a9a475-c2a5-4ce0-98a7-e24ec3bbf1f1.pdf,별첨1-5,(초록 추출 실패)
NERATHEON,NERATHEON Track1 Research Report.pdf,505e0784-ef3d-4d52-aa84-994aa9b25bce.pdf,Large language models (LLMs) are increasingly used to generate scientific claims and,"1. Introduction be detected through retrieval-based cross-checking, methodological drift involves structural issues in how claims are framed, scoped, and justified, requiring governance mechanisms that operate at the level of research design rather than factual consistency alone. Existing approaches to AI safety in research contexts have focused primarily on detecting factual inaccuracies and plagiarism. Hallucination detection methods leverage retrieval- augmented generation (RAG) and fact-checking APIs to verify whether generated statements align with known databases or cited sources [4-6]. While effective for identifying contradictions or fabricated references, these tools do not address whether a claim is appropriately scoped (""works in mice"" versus ""works universally""), causally justified (""correlation"" versus ""causation""), or reproducibly specified (sufficient methodological detail for validation). Human expert review remains the gold standard for evaluating methodological rigor, but this approach faces scalability challenges when reviewing AI-generated content at volume and suffers from inter-rater variability in subjective judgments [7, 8]. Ad-hoc keyword filtering (e.g., blocking absolute terms like ""always"" or ""guaranteed"") is brittle and context- insensitive, often flagging legitimate conditional claims while missing sophisticated drift patterns disguised through hedging language. Consequently, there exists a governance gap: no systematic framework currently differentiates between well-qualified AI contributions and problematic generalizations in scientific text generation. We propose Research Drift Guardian (RDG), a rule-based governance framework designed to address this gap by functioning as a transparent, reproducible stop boundary for AI- generated research claims. RDG operates through a three-layer architecture that separates signal generation (AI-assisted pattern detection) from judgment (deterministic rule application), ensuring human accountab..."
Nesus,1. 연구 보고서.pdf,cce19d55-7345-4941-8e35-c0049ccb1588.pdf,Mechanism-Aware Drug Repositioning for T Cell,"T cell exhaustion (TEX) is a stable transcriptional program that arises under chronic 1 antigen stimulation and within the tumor microenvironment, and represents a key 2 factor underlying reduced responsiveness and failure of cancer immunotherapy. In 3 this study, we integratively defined transcriptomic signatures of exhausted CD8 T 4 cells at both the single-cell and population levels and present a mechanism-oriented 5 analytical framework for translating these signatures into therapeutic hypotheses. 6 By integrating single-cell and bulk transcriptomic data derived from patients with 7 triple-negative breast cancer (TNBC), we identified core signatures characterizing 8 the TEX transcriptional program and derived potential intervention strategies aimed 9 at modulating TEX-associated transcriptional programs. We further constructed a 10 large language model (LLM)-based inference framework that leverages TEX-based 11 molecular stratification and pathway-level transcriptomic information as structured 12 inputs. This framework integrates molecular mechanisms, clinical applicability, 13 and safety considerations to generate TEX state–informed therapeutic hypotheses 14 at the individual patient level. Collectively, this study frames T cell exhaustion as a 15 transcriptomic reprogramming problem and proposes a reproducible and scalable 16 hypothesis-generation approach for immunotherapy discovery by combining single- 17 cell–bulk integrative analysis with LLM-assisted multidisciplinary reasoning. 18"
Optimal Path,01_Research_Report_FINAL_CLEAN.pdf,1e1ac31c-2e53-48ec-9bca-4c1ce1b7ad34.pdf,AI-Driven Drug Repurposing for Alzheimer’s Disease:,"Background: Alzheimer’s disease affects 55.2 million globally with 99% drug devel- opment failure. Multi-target strategies addressing neuroinflammation and metabolism are essential. Objective: AI-driven repurposing to identify FDA-approved drugs with dual mecha- nisms targeting neuroinflammation and metabolic dysfunction. Methods: AI-assisted literature mining analyzed 40+ publications (2024-2025). Five candidates emerged: Metformin, SGLT2 inhibitors, Semaglutide, Liraglutide, Pioglita- zone. Multi-dimensional scoring (0-100): efficacy (30%), safety (25%), accessibility (20%), clinical evidence (15%), mechanism (10%). Network analysis mapped drug- pathway-disease relationships. Results: Metformin ranked first (92/100) through exceptional accessibility ($17/month) and safety (30-year record with B12 monitoring). SGLT2 inhibitors second (82/100) via unique ketone production. Pioglitazone third (80/100) with 67% global reach ($33/month) despite heart failure contraindications, surpassing Semaglutide (79/100), which showed strongest clinical evidence (Phase III ongoing) but severe cost barriers ($1,000/month, 24% accessibility). All demonstrated dual anti-inflammatory (TNF-α ↓, IL-1β ↓, IL- 6↓) and pro-metabolic (glucose uptake↑, insulin signaling↑) activities. Network analy- sis: 85% pathway overlap converging on AMPK/insulin/NF-κB, validating multi-target approach. Conclusions: Metformin emerges as optimal first-line candidate for immediate Phase II trials, offering exceptional cost-effectiveness ($67 ROI per $1, $24/month with B12), proven safety, and universal accessibility (100% vs 24% for alternatives). SGLT2 in- hibitors warrant parallel investigation via ketone-mediated neuroprotection. If 30% ef- fective, Metformin could prevent 500,000 annual AD cases globally. This AI frame- work provides replicable, equity-centered drug repurposing methodology."
ROKAI,ROKAI_Paper_Final.pdf,c07af56a-27ff-4131-8620-93fb63360850.pdf,Preprint. Team ROKAI.,"In modern warfare, AI and drone-centric combat systems have emerged as a key factor distinguishing current military capabilities from the past. However, incidents involving autonomous drone systems are primarily caused by the limitations of computer vision and the high uncertainty of the battlefield environment. To overcome the constraints of data sparsity and real-time processing inherent in combat situations, this paper introduces the concept of 'Reasoning Guard' to drone systems. To implement this, we propose a self-correcting framework that fuses the uncertainty measurement capabilities of Bayesian Inference with the hard sample mining strengths of AdaBoost."
SiYa,AI 활용보고서_최종.pdf,771c5a57-65b2-4497-917a-ad47dc1c833c.pdf,별첨1-4  AI 활용 보고서 (Track1),(초록 추출 실패)
